subject,modality,phase,MD_mean,ND_baseline,delta
T001,Breathing.Rate,P1,-1.8555763706256476,-1.9732269604548005e-15,-1.8555763706256456
T002,Breathing.Rate,P1,-0.5893760052242737,-2.5951812767056555e-16,-0.5893760052242735
T003,Breathing.Rate,P1,-0.8877501489366785,-1.4512411313933081e-15,-0.887750148936677
T004,Breathing.Rate,P1,-0.1512216384412122,-1.107560619290324e-15,-0.1512216384412111
T005,Breathing.Rate,P1,0.5397765028231268,7.451384494862474e-16,0.5397765028231261
T006,Breathing.Rate,P1,-0.043170568484341275,1.5401391745863874e-15,-0.043170568484342815
T007,Breathing.Rate,P1,-0.49480382908225884,-8.483752894958943e-16,-0.494803829082258
T008,Breathing.Rate,P1,-0.49431325414164246,-3.166764281939165e-16,-0.4943132541416421
T009,Breathing.Rate,P1,-0.5853860579043191,-2.226243558517285e-16,-0.5853860579043189
T010,Breathing.Rate,P1,0.032640255059260936,-5.396527107038736e-16,0.03264025505926148
T011,Breathing.Rate,P1,0.4372347712861747,7.459766254699214e-16,0.437234771286174
T012,Breathing.Rate,P1,-0.728506095633802,-4.011847316085886e-16,-0.7285060956338015
T013,Breathing.Rate,P1,0.6100071862507518,-5.075305255429287e-16,0.6100071862507523
T014,Breathing.Rate,P1,0.21024922130335022,1.7496264355241865e-16,0.21024922130335005
T015,Breathing.Rate,P1,-1.0175342425390084,-2.2676895822130855e-16,-1.0175342425390081
T016,Breathing.Rate,P1,-0.679354394446512,-3.7996937741181827e-16,-0.6793543944465117
T017,Breathing.Rate,P1,0.22967060276537135,-5.355369206267242e-16,0.22967060276537188
T018,Breathing.Rate,P1,-0.2068147451337848,-2.91360116515385e-16,-0.20681474513378453
T019,Breathing.Rate,P1,-1.1768292153559325,-3.242020087118328e-16,-1.1768292153559323
T020,Breathing.Rate,P1,-1.2196342531502964,5.766184504859452e-16,-1.219634253150297
T021,Breathing.Rate,P1,-0.21757026909583208,2.4244240327772447e-16,-0.21757026909583232
T022,Breathing.Rate,P1,-0.8621741542116,6.261487709763335e-16,-0.8621741542116007
T023,Breathing.Rate,P1,0.7764237908916034,5.473231527175463e-16,0.7764237908916028
T024,Breathing.Rate,P1,-0.283383168746146,-8.050945359073598e-16,-0.28338316874614516
T025,Breathing.Rate,P1,-1.3772356375698342,-2.1751308237554087e-16,-1.377235637569834
T027,Breathing.Rate,P1,-0.5810274708621743,-6.640586315514955e-16,-0.5810274708621737
T029,Breathing.Rate,P1,1.1128961642541004,1.1569216864479242e-16,1.1128961642541002
T031,Breathing.Rate,P1,1.350143802171206,-2.7560445508270553e-16,1.3501438021712062
T033,Breathing.Rate,P1,0.7538667246708021,6.832141690000964e-16,0.7538667246708014
T034,Breathing.Rate,P1,0.3856409444507591,4.855219745009883e-16,0.3856409444507586
T035,Breathing.Rate,P1,0.0840496242270224,5.654186226207694e-16,0.08404962422702184
T036,Breathing.Rate,P1,-1.596868140842294,-2.3715161912403857e-16,-1.5968681408422938
T038,Breathing.Rate,P1,0.6629100113934021,4.472840962518616e-16,0.6629100113934017
T039,Breathing.Rate,P1,1.1999825819419023,1.2010464307686855e-15,1.1999825819419012
T040,Breathing.Rate,P1,0.4174856568618003,1.631556224477842e-17,0.4174856568618003
T041,Breathing.Rate,P1,0.2526620312953105,2.0872736423797313e-16,0.2526620312953103
T042,Breathing.Rate,P1,0.2946321267549264,-1.1238649807447336e-15,0.2946321267549275
T043,Breathing.Rate,P1,-1.0178657029086955,-9.892428985147313e-16,-1.0178657029086946
T044,Breathing.Rate,P1,-0.17678242791151905,-2.0407232619741782e-16,-0.17678242791151885
T045,Breathing.Rate,P1,0.7695138448546678,-1.5456920289292675e-16,0.7695138448546679
T047,Breathing.Rate,P1,-0.9622713249303975,2.835083234953018e-16,-0.9622713249303978
T050,Breathing.Rate,P1,0.6582921948939926,2.9459268575190596e-15,0.6582921948939896
T051,Breathing.Rate,P1,0.8084267893621393,-4.010425257050872e-16,0.8084267893621397
T054,Breathing.Rate,P1,-1.1330092768702826,-9.672309492022307e-16,-1.1330092768702817
T060,Breathing.Rate,P1,0.5181089562529522,-1.1483518961779398e-15,0.5181089562529533
T061,Breathing.Rate,P1,-0.8935422491066235,1.024205745239784e-15,-0.8935422491066245
T064,Breathing.Rate,P1,0.5205141925363423,2.5331291827454553e-16,0.5205141925363421
T066,Breathing.Rate,P1,-1.1282851962035512,-2.0506283860320352e-16,-1.128285196203551
T068,Breathing.Rate,P1,-1.5710951081060436,-1.8641155248220685e-15,-1.5710951081060418
T073,Breathing.Rate,P1,-0.8997167737977791,-8.319645956684717e-16,-0.8997167737977784
T076,Breathing.Rate,P1,0.2050163319982734,-1.450087215836939e-16,0.20501633199827354
T077,Breathing.Rate,P1,-0.3845393211874178,1.3448758405553947e-16,-0.3845393211874179
T079,Breathing.Rate,P1,-0.19655658101973944,-3.0996830754635243e-16,-0.19655658101973913
T080,Breathing.Rate,P1,0.637420372074079,6.478477884871501e-16,0.6374203720740783
T081,Breathing.Rate,P1,-1.3096610563216629,6.594051903834263e-16,-1.3096610563216635
T082,Breathing.Rate,P1,-1.9195913283618629,-5.484891293586739e-16,-1.9195913283618624
T083,Breathing.Rate,P1,1.2808784542404101,1.475175229951765e-15,1.2808784542404086
T084,Breathing.Rate,P1,0.24243479566134057,3.0485331897298027e-16,0.24243479566134027
T086,Breathing.Rate,P1,-0.4962355365420784,-6.318398742328504e-16,-0.4962355365420778
T001,Breathing.Rate,P2,0.931968420389882,-1.9732269604548005e-15,0.931968420389884
