subject,phase,modality,md_nsamples,md_finite,md_frac_finite,nd_nsamples,nd_finite,nd_frac_finite
T001,P1,Perinasal.Perspiration,81,81,1.0,81,81,1.0
T001,P1,Heart.Rate,81,0,0.0,81,0,0.0
T001,P1,Breathing.Rate,81,81,1.0,81,81,1.0
T001,P2,Perinasal.Perspiration,160,160,1.0,160,160,1.0
T001,P2,Heart.Rate,160,67,0.41875,160,95,0.59375
T001,P2,Breathing.Rate,160,160,1.0,160,160,1.0
T001,P3,Perinasal.Perspiration,270,270,1.0,270,270,1.0
T001,P3,Heart.Rate,270,270,1.0,270,270,1.0
T001,P3,Breathing.Rate,270,270,1.0,270,270,1.0
T001,P4,Perinasal.Perspiration,162,162,1.0,162,162,1.0
T001,P4,Heart.Rate,162,162,1.0,162,162,1.0
T001,P4,Breathing.Rate,162,162,1.0,162,162,1.0
T001,P5,Perinasal.Perspiration,156,156,1.0,114,114,1.0
T001,P5,Heart.Rate,156,156,1.0,114,114,1.0
T001,P5,Breathing.Rate,156,156,1.0,114,114,1.0
T002,P1,Perinasal.Perspiration,82,82,1.0,82,82,1.0
T002,P1,Heart.Rate,82,82,1.0,82,82,1.0
T002,P1,Breathing.Rate,82,82,1.0,82,82,1.0
T002,P2,Perinasal.Perspiration,158,158,1.0,158,158,1.0
T002,P2,Heart.Rate,158,158,1.0,158,158,1.0
T002,P2,Breathing.Rate,158,158,1.0,158,158,1.0
T002,P3,Perinasal.Perspiration,259,259,1.0,259,259,1.0
T002,P3,Heart.Rate,259,259,1.0,259,259,1.0
T002,P3,Breathing.Rate,259,259,1.0,259,259,1.0
T002,P4,Perinasal.Perspiration,152,152,1.0,152,152,1.0
T002,P4,Heart.Rate,152,152,1.0,152,152,1.0
T002,P4,Breathing.Rate,152,152,1.0,152,152,1.0
T002,P5,Perinasal.Perspiration,117,117,1.0,117,117,1.0
T002,P5,Heart.Rate,117,117,1.0,117,117,1.0
T002,P5,Breathing.Rate,117,117,1.0,117,117,1.0
T003,P1,Perinasal.Perspiration,75,75,1.0,75,75,1.0
T003,P1,Heart.Rate,75,75,1.0,75,75,1.0
T003,P1,Breathing.Rate,75,75,1.0,75,75,1.0
T003,P2,Perinasal.Perspiration,159,159,1.0,159,159,1.0
T003,P2,Heart.Rate,159,159,1.0,159,159,1.0
T003,P2,Breathing.Rate,159,159,1.0,159,159,1.0
T003,P3,Perinasal.Perspiration,238,238,1.0,238,238,1.0
T003,P3,Heart.Rate,238,238,1.0,238,238,1.0
T003,P3,Breathing.Rate,238,238,1.0,238,238,1.0
T003,P4,Perinasal.Perspiration,157,157,1.0,157,157,1.0
T003,P4,Heart.Rate,157,157,1.0,157,157,1.0
T003,P4,Breathing.Rate,157,157,1.0,157,157,1.0
T003,P5,Perinasal.Perspiration,116,116,1.0,116,116,1.0
T003,P5,Heart.Rate,116,116,1.0,116,116,1.0
T003,P5,Breathing.Rate,116,116,1.0,116,116,1.0
T004,P1,Perinasal.Perspiration,93,93,1.0,93,93,1.0
T004,P1,Heart.Rate,93,93,1.0,93,93,1.0
T004,P1,Breathing.Rate,93,93,1.0,93,93,1.0
T004,P2,Perinasal.Perspiration,155,155,1.0,155,155,1.0
T004,P2,Heart.Rate,155,155,1.0,155,155,1.0
T004,P2,Breathing.Rate,155,155,1.0,155,155,1.0
T004,P3,Perinasal.Perspiration,287,287,1.0,287,287,1.0
T004,P3,Heart.Rate,287,287,1.0,287,287,1.0
T004,P3,Breathing.Rate,287,287,1.0,287,287,1.0
T004,P4,Perinasal.Perspiration,157,157,1.0,157,157,1.0
T004,P4,Heart.Rate,157,157,1.0,157,157,1.0
T004,P4,Breathing.Rate,157,157,1.0,157,157,1.0
T004,P5,Perinasal.Perspiration,90,90,1.0,90,90,1.0
T004,P5,Heart.Rate,90,90,1.0,90,90,1.0
T004,P5,Breathing.Rate,90,90,1.0,90,90,1.0
T005,P1,Perinasal.Perspiration,77,77,1.0,77,77,1.0
T005,P1,Heart.Rate,77,77,1.0,77,77,1.0
T005,P1,Breathing.Rate,77,77,1.0,77,77,1.0
T005,P2,Perinasal.Perspiration,160,160,1.0,160,160,1.0
T005,P2,Heart.Rate,160,160,1.0,160,160,1.0
T005,P2,Breathing.Rate,160,160,1.0,160,160,1.0
T005,P3,Perinasal.Perspiration,243,243,1.0,243,243,1.0
T005,P3,Heart.Rate,243,243,1.0,243,243,1.0
T005,P3,Breathing.Rate,243,243,1.0,243,243,1.0
T005,P4,Perinasal.Perspiration,172,172,1.0,172,172,1.0
T005,P4,Heart.Rate,172,172,1.0,172,172,1.0
T005,P4,Breathing.Rate,172,172,1.0,172,172,1.0
T005,P5,Perinasal.Perspiration,122,122,1.0,122,122,1.0
T005,P5,Heart.Rate,122,122,1.0,122,122,1.0
T005,P5,Breathing.Rate,122,122,1.0,122,122,1.0
T006,P1,Perinasal.Perspiration,75,75,1.0,75,75,1.0
T006,P1,Heart.Rate,75,75,1.0,75,75,1.0
T006,P1,Breathing.Rate,75,75,1.0,75,75,1.0
T006,P2,Perinasal.Perspiration,160,160,1.0,160,160,1.0
T006,P2,Heart.Rate,160,160,1.0,160,160,1.0
T006,P2,Breathing.Rate,160,160,1.0,160,160,1.0
T006,P3,Perinasal.Perspiration,232,232,1.0,232,232,1.0
T006,P3,Heart.Rate,232,232,1.0,232,232,1.0
T006,P3,Breathing.Rate,232,232,1.0,232,232,1.0
T006,P4,Perinasal.Perspiration,166,166,1.0,166,166,1.0
T006,P4,Heart.Rate,166,166,1.0,166,166,1.0
T006,P4,Breathing.Rate,166,166,1.0,166,166,1.0
T006,P5,Perinasal.Perspiration,74,74,1.0,74,74,1.0
T006,P5,Heart.Rate,74,74,1.0,74,74,1.0
T006,P5,Breathing.Rate,74,74,1.0,74,74,1.0
T007,P1,Perinasal.Perspiration,75,0,0.0,75,0,0.0
T007,P1,Heart.Rate,75,75,1.0,75,75,1.0
T007,P1,Breathing.Rate,75,75,1.0,75,75,1.0
T007,P2,Perinasal.Perspiration,157,0,0.0,157,0,0.0
T007,P2,Heart.Rate,157,157,1.0,157,157,1.0
T007,P2,Breathing.Rate,157,157,1.0,157,157,1.0
T007,P3,Perinasal.Perspiration,250,0,0.0,250,0,0.0
T007,P3,Heart.Rate,250,250,1.0,250,250,1.0
T007,P3,Breathing.Rate,250,250,1.0,250,250,1.0
T007,P4,Perinasal.Perspiration,158,0,0.0,158,0,0.0
T007,P4,Heart.Rate,158,158,1.0,158,158,1.0
T007,P4,Breathing.Rate,158,158,1.0,158,158,1.0
T007,P5,Perinasal.Perspiration,152,0,0.0,142,0,0.0
T007,P5,Heart.Rate,152,152,1.0,142,142,1.0
T007,P5,Breathing.Rate,152,152,1.0,142,142,1.0
T008,P1,Perinasal.Perspiration,75,75,1.0,75,75,1.0
T008,P1,Heart.Rate,75,75,1.0,75,75,1.0
T008,P1,Breathing.Rate,75,75,1.0,75,75,1.0
T008,P2,Perinasal.Perspiration,160,160,1.0,160,160,1.0
T008,P2,Heart.Rate,160,160,1.0,160,160,1.0
T008,P2,Breathing.Rate,160,160,1.0,160,160,1.0
T008,P3,Perinasal.Perspiration,232,232,1.0,232,232,1.0
T008,P3,Heart.Rate,232,232,1.0,232,232,1.0
T008,P3,Breathing.Rate,232,232,1.0,232,232,1.0
T008,P4,Perinasal.Perspiration,166,166,1.0,166,166,1.0
T008,P4,Heart.Rate,166,166,1.0,166,166,1.0
T008,P4,Breathing.Rate,166,166,1.0,166,166,1.0
T008,P5,Perinasal.Perspiration,108,108,1.0,87,87,1.0
T008,P5,Heart.Rate,108,108,1.0,87,87,1.0
T008,P5,Breathing.Rate,108,108,1.0,87,87,1.0
T009,P1,Perinasal.Perspiration,87,87,1.0,87,87,1.0
T009,P1,Heart.Rate,87,81,0.9310344827586207,87,87,1.0
T009,P1,Breathing.Rate,87,87,1.0,87,87,1.0
T009,P2,Perinasal.Perspiration,162,162,1.0,162,162,1.0
T009,P2,Heart.Rate,162,148,0.9135802469135802,162,76,0.4691358024691358
T009,P2,Breathing.Rate,162,162,1.0,162,162,1.0
T009,P3,Perinasal.Perspiration,239,239,1.0,239,239,1.0
T009,P3,Heart.Rate,239,89,0.3723849372384937,239,28,0.11715481171548117
T009,P3,Breathing.Rate,239,239,1.0,239,239,1.0
T009,P4,Perinasal.Perspiration,158,158,1.0,158,158,1.0
T009,P4,Heart.Rate,158,137,0.8670886075949367,158,0,0.0
T009,P4,Breathing.Rate,158,158,1.0,158,158,1.0
T009,P5,Perinasal.Perspiration,127,127,1.0,122,122,1.0
T009,P5,Heart.Rate,127,69,0.5433070866141733,122,0,0.0
T009,P5,Breathing.Rate,127,127,1.0,122,122,1.0
T010,P1,Perinasal.Perspiration,71,71,1.0,71,71,1.0
T010,P1,Heart.Rate,71,71,1.0,71,71,1.0
T010,P1,Breathing.Rate,71,71,1.0,71,71,1.0
T010,P2,Perinasal.Perspiration,158,158,1.0,158,158,1.0
T010,P2,Heart.Rate,158,158,1.0,158,158,1.0
T010,P2,Breathing.Rate,158,158,1.0,158,158,1.0
T010,P3,Perinasal.Perspiration,267,267,1.0,267,267,1.0
T010,P3,Heart.Rate,267,267,1.0,267,267,1.0
T010,P3,Breathing.Rate,267,267,1.0,267,267,1.0
T010,P4,Perinasal.Perspiration,161,161,1.0,161,161,1.0
T010,P4,Heart.Rate,161,161,1.0,161,161,1.0
T010,P4,Breathing.Rate,161,161,1.0,161,161,1.0
T010,P5,Perinasal.Perspiration,34,34,1.0,34,34,1.0
T010,P5,Heart.Rate,34,34,1.0,34,34,1.0
T010,P5,Breathing.Rate,34,34,1.0,34,34,1.0
T011,P1,Perinasal.Perspiration,79,79,1.0,79,79,1.0
T011,P1,Heart.Rate,79,79,1.0,79,79,1.0
T011,P1,Breathing.Rate,79,79,1.0,79,79,1.0
T011,P2,Perinasal.Perspiration,162,162,1.0,162,162,1.0
T011,P2,Heart.Rate,162,162,1.0,162,162,1.0
T011,P2,Breathing.Rate,162,162,1.0,162,162,1.0
T011,P3,Perinasal.Perspiration,263,263,1.0,263,263,1.0
T011,P3,Heart.Rate,263,263,1.0,263,263,1.0
T011,P3,Breathing.Rate,263,263,1.0,263,263,1.0
T011,P4,Perinasal.Perspiration,153,153,1.0,153,153,1.0
T011,P4,Heart.Rate,153,153,1.0,153,153,1.0
